Team,Team id,Race id,Year,Team points,Team ranking,Team wins,Finishing position
Ferrari,6,19,2008,1,6,0,1
BMW Sauber,2,19,2008,8,3,0,2
McLaren,1,19,2008,14,1,1,3
McLaren,1,19,2008,14,1,1,5
BMW Sauber,2,19,2008,8,3,0,6
Renault,4,19,2008,5,4,0,8
Renault,4,19,2008,5,4,0,11
Williams,3,19,2008,9,2,0,14
Williams,3,19,2008,9,2,0,17
Ferrari,6,20,2008,11,3,1,1
Ferrari,6,20,2008,11,3,1,2
BMW Sauber,2,20,2008,19,2,0,3
BMW Sauber,2,20,2008,19,2,0,4
McLaren,1,20,2008,24,1,1,5
Toyota,7,20,2008,5,6,0,6
Red Bull,9,20,2008,2,7,0,7
Williams,3,20,2008,9,4,0,8
Toyota,7,20,2008,5,6,0,9
Renault,4,20,2008,6,5,0,10
Honda,11,20,2008,0,9,0,11
Force India,10,20,2008,0,10,0,12
McLaren,1,20,2008,24,1,1,13
Williams,3,20,2008,9,4,0,14
Toro Rosso,5,20,2008,2,8,0,15
Super Aguri,8,20,2008,0,11,0,16
Super Aguri,8,20,2008,0,11,0,17
Red Bull,9,20,2008,2,7,0,18
Force India,10,20,2008,0,10,0,19
Ferrari,6,21,2008,29,2,2,1
Ferrari,6,21,2008,29,2,2,2
McLaren,1,21,2008,28,3,1,3
BMW Sauber,2,21,2008,30,1,0,4
Red Bull,9,21,2008,4,7,0,5
Honda,11,21,2008,0,9,0,6
Williams,3,21,2008,10,4,0,7
Toyota,7,21,2008,8,5,0,8
BMW Sauber,2,21,2008,30,1,0,9
Force India,10,21,2008,0,10,0,10
Toyota,7,21,2008,8,5,0,11
Red Bull,9,21,2008,4,7,0,12
Super Aguri,8,21,2008,0,11,0,13
Ferrari,6,22,2008,47,1,3,1
McLaren,1,22,2008,34,3,1,2
Ferrari,6,22,2008,47,1,3,3
BMW Sauber,2,22,2008,35,2,0,4
BMW Sauber,2,22,2008,35,2,0,5
Renault,4,22,2008,6,7,0,6
Red Bull,9,22,2008,8,6,0,7
Williams,3,22,2008,12,4,0,8
Red Bull,9,22,2008,8,6,0,9
Toyota,7,22,2008,9,5,0,10
Honda,11,22,2008,3,8,0,11
McLaren,1,22,2008,34,3,1,12
Toyota,7,22,2008,9,5,0,13
Honda,11,22,2008,3,8,0,14
Renault,4,22,2008,6,7,0,15
Force India,10,22,2008,0,10,0,16
Toro Rosso,5,22,2008,2,9,0,17
McLaren,1,23,2008,42,3,1,1
BMW Sauber,2,23,2008,44,2,0,2
Ferrari,6,23,2008,63,1,4,3
Red Bull,9,23,2008,10,5,0,4
Toro Rosso,5,23,2008,2,9,0,5
Honda,11,23,2008,3,8,0,6
Williams,3,23,2008,13,4,0,7
McLaren,1,23,2008,42,3,1,8
Ferrari,6,23,2008,63,1,4,9
Renault,4,23,2008,9,7,0,10
Honda,11,23,2008,3,8,0,11
Toyota,7,23,2008,9,6,0,12
Toyota,7,23,2008,9,6,0,13
BMW Sauber,2,23,2008,44,2,0,14
BMW Sauber,2,24,2008,52,3,0,1
BMW Sauber,2,24,2008,52,3,0,2
Red Bull,9,24,2008,15,5,0,3
Toyota,7,24,2008,9,6,0,4
Ferrari,6,24,2008,69,1,4,5
Toyota,7,24,2008,9,6,0,6
Honda,11,24,2008,6,9,0,7
Toro Rosso,5,24,2008,6,8,0,8
McLaren,1,24,2008,53,2,2,9
Williams,3,24,2008,15,4,0,10
Honda,11,24,2008,6,9,0,11
Red Bull,9,24,2008,15,5,0,12
Toro Rosso,5,24,2008,6,8,0,13
Ferrari,6,25,2008,73,1,4,1
Ferrari,6,25,2008,73,1,4,2
Toyota,7,25,2008,17,5,0,3
McLaren,1,25,2008,53,3,2,4
BMW Sauber,2,25,2008,70,2,1,5
Red Bull,9,25,2008,21,4,0,6
Renault,4,25,2008,9,7,0,7
Renault,4,25,2008,9,7,0,8
Red Bull,9,25,2008,21,4,0,9
McLaren,1,25,2008,53,3,2,10
Toyota,7,25,2008,17,5,0,11
Toro Rosso,5,25,2008,7,9,0,12
BMW Sauber,2,25,2008,70,2,1,13
Honda,11,25,2008,8,8,0,14
Williams,3,25,2008,15,6,0,15
Williams,3,25,2008,15,6,0,16
Toro Rosso,5,25,2008,7,9,0,17
Force India,10,25,2008,0,10,0,18
Force India,10,25,2008,0,10,0,19
McLaren,1,26,2008,58,3,2,1
BMW Sauber,2,26,2008,74,2,1,2
Honda,11,26,2008,8,8,0,3
Ferrari,6,26,2008,91,1,5,4
McLaren,1,26,2008,58,3,2,5
Renault,4,26,2008,12,7,0,6
Toyota,7,26,2008,23,5,0,7
Williams,3,26,2008,15,6,0,8
Williams,3,26,2008,15,6,0,9
Red Bull,9,26,2008,24,4,0,10
Toro Rosso,5,26,2008,7,9,0,11
Toyota,7,26,2008,23,5,0,12
Ferrari,6,26,2008,91,1,5,13
McLaren,1,27,2008,72,3,3,1
Renault,4,27,2008,15,7,0,2
Ferrari,6,27,2008,96,1,5,3
BMW Sauber,2,27,2008,82,2,1,4
McLaren,1,27,2008,72,3,3,5
Ferrari,6,27,2008,96,1,5,6
BMW Sauber,2,27,2008,82,2,1,7
Toro Rosso,5,27,2008,7,9,0,8
Toyota,7,27,2008,25,4,0,9
Williams,3,27,2008,16,6,0,10
Renault,4,27,2008,15,7,0,11
Toro Rosso,5,27,2008,7,9,0,12
Red Bull,9,27,2008,24,5,0,13
Williams,3,27,2008,16,6,0,14
Force India,10,27,2008,0,10,0,15
Force India,10,27,2008,0,10,0,16
Honda,11,27,2008,14,8,0,17
McLaren,1,28,2008,86,3,4,1
Toyota,7,28,2008,25,4,0,2
Ferrari,6,28,2008,105,1,5,3
Renault,4,28,2008,23,6,0,4
McLaren,1,28,2008,86,3,4,5
Renault,4,28,2008,23,6,0,6
Toyota,7,28,2008,25,4,0,7
BMW Sauber,2,28,2008,89,2,1,8
Red Bull,9,28,2008,24,5,0,9
BMW Sauber,2,28,2008,89,2,1,10
Red Bull,9,28,2008,24,5,0,11
Honda,11,28,2008,14,8,0,12
Williams,3,28,2008,16,7,0,13
Williams,3,28,2008,16,7,0,14
Force India,10,28,2008,0,10,0,15
Honda,11,28,2008,14,8,0,16
Ferrari,6,28,2008,105,1,5,17
Toro Rosso,5,28,2008,8,9,0,18
Ferrari,6,29,2008,111,1,5,1
McLaren,1,29,2008,100,2,5,2
BMW Sauber,2,29,2008,90,3,1,3
McLaren,1,29,2008,100,2,5,4
Toyota,7,29,2008,35,4,0,5
Toro Rosso,5,29,2008,8,9,0,6
Toyota,7,29,2008,35,4,0,7
Williams,3,29,2008,16,7,0,8
BMW Sauber,2,29,2008,90,3,1,9
Toro Rosso,5,29,2008,8,9,0,10
Renault,4,29,2008,31,5,0,11
Red Bull,9,29,2008,24,6,0,12
Honda,11,29,2008,14,8,0,13
Force India,10,29,2008,0,10,0,14
Williams,3,29,2008,16,7,0,15
Honda,11,29,2008,14,8,0,16
Red Bull,9,29,2008,24,6,0,17
Ferrari,6,30,2008,121,1,6,1
BMW Sauber,2,30,2008,96,3,1,2
McLaren,1,30,2008,113,2,5,3
Renault,4,30,2008,31,5,0,4
Toro Rosso,5,30,2008,11,9,0,5
BMW Sauber,2,30,2008,96,3,1,6
Toro Rosso,5,30,2008,11,9,0,7
Red Bull,9,30,2008,24,6,0,8
Toyota,7,30,2008,41,4,0,9
McLaren,1,30,2008,113,2,5,10
Red Bull,9,30,2008,24,6,0,11
Williams,3,30,2008,17,7,0,12
Force India,10,30,2008,0,10,0,13
Williams,3,30,2008,17,7,0,14
Honda,11,30,2008,14,8,0,15
Toyota,7,30,2008,41,4,0,16
Force India,10,30,2008,0,10,0,17
Ferrari,6,30,2008,121,1,6,18
Toro Rosso,5,31,2008,17,8,0,1
McLaren,1,31,2008,119,2,5,2
BMW Sauber,2,31,2008,107,3,1,3
Renault,4,31,2008,36,5,0,4
BMW Sauber,2,31,2008,107,3,1,5
Ferrari,6,31,2008,131,1,7,6
McLaren,1,31,2008,119,2,5,7
Red Bull,9,31,2008,25,6,0,8
Ferrari,6,31,2008,131,1,7,9
Renault,4,31,2008,36,5,0,10
Toyota,7,31,2008,41,4,0,11
Williams,3,31,2008,17,7,0,12
Toyota,7,31,2008,41,4,0,13
Williams,3,31,2008,17,7,0,14
Honda,11,31,2008,14,9,0,15
Red Bull,9,31,2008,25,6,0,16
Honda,11,31,2008,14,9,0,17
Toro Rosso,5,31,2008,17,8,0,18
Force India,10,31,2008,0,10,0,19
Renault,4,32,2008,41,5,0,1
Williams,3,32,2008,17,8,0,2
McLaren,1,32,2008,129,2,5,3
Toyota,7,32,2008,41,4,0,4
Toro Rosso,5,32,2008,27,6,1,5
BMW Sauber,2,32,2008,117,3,1,6
Red Bull,9,32,2008,26,7,0,7
Williams,3,32,2008,17,8,0,8
Honda,11,32,2008,14,9,0,9
McLaren,1,32,2008,129,2,5,10
BMW Sauber,2,32,2008,117,3,1,11
Toro Rosso,5,32,2008,27,6,1,12
Ferrari,6,32,2008,134,1,7,13
Force India,10,32,2008,0,10,0,14
Ferrari,6,32,2008,134,1,7,15
